datetime,instrument,size,price,value
2024-04-09,EMR,5270,111.75028997039794,586473.7384033203
2024-04-09,HUM,126,312.225645401001,39645.760803222656
2024-04-09,IBKR,126,312.225645401001,39645.760803222656
2024-04-09,KHC,617,34.79116389656067,21519.117736816406
2024-04-09,KO,-376,57.113938205718995,-21648.712341308594
2024-04-09,MU,-322,122.20960132598877,-39268.709716796875
2024-04-09,ON,1671,68.784375,118540.74407958984
2024-04-09,RSG,-3818,185.93506213378907,-711310.0734558105
2024-04-09,SMCI,425,92.89642347335815,38428.49922180176
2024-04-09,SNA,431,282.2318657226562,121863.01397705078
2024-04-09,STE,-77,510.43581652832034,-39368.71499633789
2024-04-09,TRV,-175,223.1543734664917,-38331.766510009766
2024-04-09,TXT,-1,95.16384294509888,-96.19022369384766
