datetime,value,cash,ret
2024-07-17,1106660.0492602028,1133470.3472338356,-0.021747632496648683
2024-07-18,1114978.7183514275,1133470.3472338356,0.007516914608768577
2024-07-19,1113927.9663916267,1133470.3472338356,-0.000942396426502512
2024-07-22,1121671.6303501762,1133470.3472338356,0.006951673889321386
2024-07-23,1118603.6167606853,1124829.7809662365,-0.0027352154645590154
2024-07-24,1079392.758575871,1124829.7809662365,-0.03505339835961141
2024-07-25,1060375.414225056,1124829.7809662365,-0.0176185583975067
2024-07-26,1053490.6937527203,1124829.7809662365,-0.00649271982354227
2024-07-29,1047727.172573521,1124829.7809662365,-0.005470880011923529
2024-07-30,1042688.3400509947,1047067.9689105146,-0.0048092983120305854
2024-07-31,1057842.3367131345,1047067.9689105146,0.014533582164540926
2024-08-01,1035293.5904896848,1047067.9689105146,-0.02131579105966952
2024-08-02,1020259.407700836,1047067.9689105146,-0.014521661224366156
2024-08-05,1027719.4447844618,1047067.9689105146,0.0073119022743803885
2024-08-06,1038431.283119021,1031270.1165273767,0.010422920758111909
2024-08-07,1039315.3595007043,1031270.1165273767,0.000851357616103332
2024-08-08,1061823.2157819849,1031270.1165273767,0.021656426103520143
2024-08-09,1076037.8794248682,1031270.1165273767,0.013387034142415821
2024-08-12,1070521.7036512475,1031270.1165273767,-0.005126376941831268
2024-08-13,1079846.9388987676,1072775.0920717374,0.00871092591183742
2024-08-14,1076079.0831482068,1072775.0920717374,-0.0034892498323912946
2024-08-15,1093402.6048805371,1072775.0920717374,0.01609874404551026
2024-08-16,1093417.2560293332,1072775.0920717374,1.3399591999085914e-05
2024-08-19,1102037.876262869,1072775.0920717374,0.007884108455395111
2024-08-20,1101594.2429903953,1100635.4561790435,-0.000402557191571451
2024-08-21,1099918.892971894,1100635.4561790435,-0.0015208412981111419
2024-08-22,1096143.5229686706,1100635.4561790435,-0.00343240763236885
2024-08-23,1096949.6882232635,1100635.4561790435,0.000735455930451101
2024-08-26,1090501.9529823272,1100635.4561790435,-0.005877876907353641
2024-08-27,1081352.4899533675,1090157.2722838805,-0.008390139058382706
2024-08-28,1070716.0827186988,1090157.2722838805,-0.009836207280687348
2024-08-29,1066617.7412746833,1090157.2722838805,-0.0038276640373321458
2024-08-30,1060638.4566558287,1090157.2722838805,-0.0056058364561879515
2024-09-03,1054789.9255197928,1090157.2722838805,-0.005514160927632461
2024-09-04,1053964.9930472875,1052994.6616015935,-0.0007820822445747666
2024-09-05,1052722.5942798161,1052994.6616015935,-0.0011787856102120076
2024-09-06,1044843.7692542577,1052994.6616015935,-0.007484236653007792
2024-09-09,1043137.9632258916,1052994.6616015935,-0.0016325943443042945
2024-09-10,1032154.8246003505,1045961.839456689,-0.010528941532887859
2024-09-11,1039604.9117986079,1045961.839456689,0.007217993871357464
2024-09-12,1048373.2565423365,1045961.839456689,0.008434304844288087
2024-09-13,1063426.8384629604,1045961.839456689,0.01435899077612146
2024-09-16,1056891.0121442194,1045961.839456689,-0.006146004673144967
2024-09-17,1064139.579757918,1056922.4030344377,0.006858387033676028
2024-09-18,1072679.1510574708,1056922.4030344377,0.008024860142403112
2024-09-19,1088228.6384088884,1056922.4030344377,0.014495935094933632
2024-09-20,1091735.9343454728,1056922.4030344377,0.003222940302060495
2024-09-23,1096730.1338341127,1056922.4030344377,0.004574548965115888
2024-09-24,1089325.4054448255,1100588.7609192976,-0.00675164122955263
2024-09-25,1076730.557186807,1100588.7609192976,-0.011562062350758628
2024-09-26,1087490.4823395857,1100588.7609192976,0.009993145528340186
2024-09-27,1092426.5666854032,1100588.7609192976,0.004538967858549237
2024-09-30,1086677.8077571043,1100588.7609192976,-0.0052623756173759695
2024-10-01,1066539.9344889903,1085539.5992896343,-0.018531595220186214
2024-10-02,1052735.6164238239,1085539.5992896343,-0.012943085972472734
2024-10-03,1059720.7492701793,1085539.5992896343,0.006635220408029996
2024-10-04,1068541.9815428043,1085539.5992896343,0.008324110175911947
2024-10-07,1074409.727057674,1085539.5992896343,0.005491357023144294
2024-10-08,1070571.5005171262,1074497.506739851,-0.0035724048692847843
2024-10-09,1067451.113807913,1074497.506739851,-0.0029146924868689306
2024-10-10,1073675.9529507123,1074497.506739851,0.00583149810073591
2024-10-11,1078786.1247732602,1074497.506739851,0.004759510361113994
2024-10-14,1083762.9383766614,1074497.506739851,0.004613345953487613
2024-10-15,1082302.1340877435,1083600.0569278619,-0.0013479002069456403
2024-10-16,1096092.513856115,1083600.0569278619,0.012741709855349503
2024-10-17,1085929.7726413629,1083600.0569278619,-0.00927179146493673
2024-10-18,1087576.5814830682,1083600.0569278619,0.0015164966309926253
2024-10-21,1083508.8487903497,1083600.0569278619,-0.0037401804727824617
2024-10-22,1086456.0577789785,1083812.320801878,0.0027200599163719197
2024-10-23,1054575.5867244245,1083812.320801878,-0.029343543925491655
2024-10-24,1066030.620429659,1083812.320801878,0.010862221588890053
2024-10-25,1078398.3671423437,1083812.320801878,0.011601680548068982
2024-10-28,1077881.6187149526,1083812.320801878,-0.00047918138893365825
2024-10-29,1083924.464447666,1078499.9592482336,0.005606223937576482
2024-10-30,1063229.7439123876,1078499.9592482336,-0.019092401005842863
2024-10-31,1052562.1778189428,1078499.9592482336,-0.010033171244994699
2024-11-01,1051997.1323096044,1078499.9592482336,-0.0005368286275583278
2024-11-04,1052981.2483774908,1078499.9592482336,0.0009354740974680809
2024-11-05,1056571.4334968638,1050814.7527412486,0.0034095432610077303
2024-11-06,1040449.306651504,1050814.7527412486,-0.015258908516957992
2024-11-07,1045316.5601018977,1050814.7527412486,0.004678030365609986
2024-11-08,1046227.674878509,1050814.7527412486,0.0008716161317892102
2024-11-11,1053259.1500715327,1050814.7527412486,0.006720788755506968
2024-11-12,1031363.9081998812,1055518.62031803,-0.020788086075648637
2024-11-13,1033293.5622879015,1055518.62031803,0.001870973060700054
2024-11-14,1033117.2943769442,1055518.62031803,-0.00017058841493899912
2024-11-15,1020821.2181497561,1055518.62031803,-0.011901916940228574
2024-11-18,1029348.4686571108,1055518.62031803,0.008353324123503647
2024-11-19,1043078.3498765605,1030299.7766534466,0.01333841904613875
2024-11-20,1052177.3458501475,1030299.7766534466,0.008723214296091797
2024-11-21,1064216.2655583995,1030299.7766534466,0.011441911152843431
2024-11-22,1069333.6900560039,1030299.7766534466,0.004808632101595656
2024-11-25,1083673.6506864207,1030299.7766534466,0.013410183148410804
2024-11-26,1088220.8938815997,1086876.0445182726,0.00419613708638078
2024-11-27,1092083.262821953,1086876.0445182726,0.0035492508571275394
2024-11-29,1098303.0081699297,1086876.0445182726,0.005695303242634564
2024-12-02,1115761.498239319,1086876.0445182726,0.015895877494207955
2024-12-03,1112545.2373013399,1112721.9266314409,-0.0028825702832141475
2024-12-04,1112670.0360884569,1112721.9266314409,0.00011217412374153746
2024-12-05,1102243.1834101577,1112721.9266314409,-0.009371019565651562
2024-12-06,1113608.9000258346,1112721.9266314409,0.010311441963753554
2024-12-09,1135851.2731060884,1112721.9266314409,0.0199732357380924
2024-12-10,1126944.6671507747,1136702.9256556423,-0.007841348745384336
2024-12-11,1126886.4562170894,1136702.9256556423,-5.16537638289849e-05
2024-12-12,1120745.455492297,1136702.9256556423,-0.005449529267933184
2024-12-13,1123225.4059517772,1136702.9256556423,0.0022127686954491743
2024-12-16,1112927.468765536,1136702.9256556423,-0.009168183991987822
2024-12-17,1108051.513606936,1114407.3149899545,-0.004381197603118281
2024-12-18,1108059.2718152108,1114407.3149899545,7.001667503336861e-06
2024-12-19,1085487.2043446603,1114407.3149899545,-0.020370812324482568
2024-12-20,1088326.0846966805,1114407.3149899545,0.002615305220234454
2024-12-23,1096740.8645314279,1114407.3149899545,0.0077318553263312495
2024-12-24,1095210.5595840055,1094523.7739585477,-0.0013953204416032872
2024-12-26,1096812.8169864255,1094523.7739585477,0.0014629674526043246
2024-12-27,1092504.6962684232,1094523.7739585477,-0.003927854098057626
2024-12-30,1088242.9634793836,1094523.7739585477,-0.003900882809562356
2024-12-31,1092753.689694461,1086615.7255869475,0.004144962445385758
